,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
957,16.0,2.4,0,0,554964.0874876
958,15.4,2.3,1,0,743910.3757100201
959,15.1,2.1,0,0,-380.7254754652856
960,15.3,2.4,1,0,68523855.3527658
961,16.7,2.6,0,1,-562.0929981851922
962,15.8,2.4,1,0,625185.1253757888
963,14.8,1.4,1,0,5623147.061581714
964,15.1,1.8,1,0,-334.2695758991357
965,16.1,2.2,1,1,323895.04838583997
966,14.7,2.5,0,1,-32.571472501333346
967,15.8,2.3,1,1,1352543.0643998368
968,14.4,2.3,0,0,508146.21429598506
969,14.0,1.7,0,0,206.85417888299997
970,13.7,1.0,1,1,880600.1066873618
971,13.5,1.7,0,0,10.691007102552163
972,13.3,2.1,0,0,3611712.7318809023
973,15.1,1.8,0,0,254114.19829861945
974,14.9,1.7,0,1,276819.97829217394
975,15.9,1.8,0,1,406924.3175676
976,14.8,2.2,1,1,196261.76076971443
977,15.0,1.8,1,1,234078.6312677731
978,13.2,2.1,0,1,743552.48369882
979,12.7,2.2,1,1,4739640.345310283
980,12.6,1.7,1,0,-550.8936992593626
982,14.8,2.8,0,0,-571.2742966099928
983,14.6,3.0,0,0,-568.5658951084583
984,15.1,2.7,0,0,161734.4990495205
985,14.4,2.4,1,0,797110.8678149342
986,14.5,2.3,0,0,357879.40362172
987,13.4,2.1,0,0,1182.416335959762
988,12.3,2.4,1,0,38293885.67117577
989,12.4,2.6,0,0,-661.0212315596178
990,11.6,2.4,0,0,1038874.0288059
991,11.2,1.4,1,0,9474834.26400795
992,10.5,1.8,0,0,-630.7515045223669
993,10.8,2.2,0,0,491.81565574000007
994,9.3,2.5,0,0,3211502.7204525014
995,9.0,2.3,1,1,1943357.9716508193
996,9.3,2.3,0,1,302330.04453286825
997,8.9,1.7,0,1,439.42123423781777
998,8.4,1.0,0,0,-140.17350384727274
999,8.6,1.7,0,1,296.52087352307694
1000,8.4,2.1,1,1,-265.79796470901823
1001,7.6,1.8,0,1,0.0
1002,7.4,1.7,0,0,0.0
1003,8.3,1.8,1,0,3510219.5335949003
1004,7.6,2.2,0,0,824.9287746315716
1005,7.9,1.8,0,1,-428.10067159864985
1006,7.4,2.1,1,1,13918549.678848699
1007,6.9,2.2,0,1,929883.1770512277
1008,7.1,1.7,0,0,-661.1100816249156
1038,13.7,2.8,0,0,237905.8011602238
1039,11.1,3.0,1,0,2905.439082477857
1040,11.2,2.7,0,0,296482.8873003797
1041,11.2,2.4,1,1,743.6363479300546
1042,9.2,2.3,0,1,-627.2435363684475
1043,9.4,2.1,0,0,2645980.67863283
1044,9.8,2.4,1,1,126512864.18744475
1045,9.1,2.6,0,0,-1624.475881877147
1046,9.4,2.4,1,0,-283.9543022562998
1047,8.9,1.4,0,1,121289.00379292622
1048,8.1,1.8,0,1,70801.74394680154
1049,7.7,2.2,1,1,1545.5635076576666
1050,7.5,2.5,0,1,562.6260966537037
1051,7.7,2.3,0,1,952342.7934962095
1052,9.0,2.3,1,1,729780.061413318
1053,8.9,1.7,0,1,-889.4732584214014
1054,9.1,1.0,0,0,1609645.8453972763
1055,8.8,1.7,1,1,457801.7417874911
1056,8.6,2.1,0,1,16066798.124897696
1057,7.0,1.8,0,1,261197.59725771367
1058,8.2,1.7,0,1,-163.20595853913042
1059,8.3,1.8,0,1,6026.639484399828
1060,7.6,2.2,0,1,-542.3134155863052
1061,8.3,1.8,0,0,4978109.532949304
1062,7.1,2.1,0,1,339953.20596393093
1063,7.3,2.2,1,1,106.09206484032961
1064,8.9,1.7,0,0,330.7819009665465
1066,14.3,2.8,0,0,307903.8789903011
1067,14.1,3.0,1,0,149900.2400429945
1068,12.8,2.7,0,0,187.96221858512723
1069,11.8,2.4,1,1,-66.68448282926829
1070,11.5,2.3,1,1,1221847.340138857
1071,11.9,2.1,0,0,-356.16959533939473
1072,11.2,2.4,1,0,25696712.886892304
1073,11.1,2.6,0,0,-797.7077159472952
1074,10.0,2.4,0,0,573161.7683122151
1075,9.4,1.4,1,0,949.1259442451612
1076,9.7,1.8,0,0,75.0717464831158
1077,8.5,2.2,1,0,50.260244636423536
1078,8.0,2.5,0,0,-100.04955005855957
1079,9.7,2.3,1,1,360.6096959589744
1080,10.3,2.3,0,1,454082.1347395904
1081,9.4,1.7,1,0,-515.5882214817142
1082,9.3,1.0,0,1,772146.2283096999
1083,9.3,1.7,1,0,534644.2964505893
1084,7.8,2.1,0,0,-178.33352137143333
1085,7.8,1.8,0,0,331740.8328607
1086,7.7,1.7,0,0,2968144.8028805177
1087,8.6,1.8,1,0,-142.03122012266985
1088,7.4,2.2,1,0,355990.5050481
1089,7.4,1.8,0,0,-23.086072440499976
1090,8.0,2.1,0,0,650655.0275647221
1091,7.1,2.2,1,0,478384.5211893946
1092,8.2,1.7,0,0,-136.6641317457714
1094,8.4,2.8,0,0,346472.4621205415
1095,9.1,3.0,1,0,-192.5082013501111
1096,10.5,2.7,0,0,0.0
1097,10.7,2.4,1,1,0.0
1098,11.2,2.3,0,0,731745.1820302
1099,10.1,2.1,0,0,-192.56452158689473
1100,9.9,2.4,1,1,34907043.12162155
1101,9.5,2.6,0,1,-477.43176258634014
1102,9.1,2.4,0,0,135086.2684441927
1103,9.0,1.4,0,0,850185.18070467
1104,8.8,1.8,0,1,-60.73053386485214
1105,8.4,2.2,0,0,115335.52206093
1106,7.8,2.5,0,0,54.34172764157894
1107,7.5,2.3,0,1,-60.71800127220278
1108,8.7,2.3,0,0,305163.46221012
1109,8.8,1.7,0,0,-234.7411247770154
1110,8.4,1.0,0,0,866575.8288902
1111,9.2,1.7,0,0,-192.57240642004444
1112,10.1,2.1,0,0,1287518.55301193
1113,8.9,1.8,0,1,250146.42552298246
1114,6.7,1.7,0,1,296265.656773046
1115,6.5,1.8,0,1,0.0
1116,8.1,2.2,0,1,192248.20745854275
1117,8.2,1.8,0,0,50533.2196773298
1118,8.8,2.1,1,1,731719.7980557521
1119,10.0,2.2,1,1,1458115.7111605275
1120,9.9,1.7,0,0,-103.03415029881664
1262,4.6,2.8,0,0,-235.80904257148384
1263,4.1,3.0,0,0,278863.44564143615
1264,4.4,2.7,0,1,-337.2639221402625
1265,3.8,2.4,0,1,1081662.1009673001
1266,5.1,2.3,0,1,227960.98870957096
1267,4.4,2.1,0,0,-162.92979019157144
1268,5.1,2.4,1,1,26968608.68566921
1269,5.7,2.6,0,1,-365.63004777533956
1270,5.0,2.4,0,0,927977.5386755387
1271,4.7,1.4,0,0,2365506.0349365664
1272,4.2,1.8,0,1,-102.76913228149924
1273,5.1,2.2,0,1,320835.6854880204
1274,5.0,2.5,0,1,62.99166180810934
1275,4.5,2.3,0,1,148.85159297840173
1276,4.7,2.3,0,1,171565.19380000044
1277,5.3,1.7,0,1,-278.4941653838854
1278,5.3,1.0,0,0,1304.3700144
1279,4.4,1.7,0,1,-163.0100192996
1280,4.1,2.1,0,1,3581072.6275916
1281,4.2,1.8,0,1,-168.9185201694151
1282,4.2,1.7,1,1,0.0
1283,5.1,1.8,1,1,0.0
1284,5.5,2.2,0,1,162883.2055482
1285,4.5,1.8,0,1,158622.61223294
1286,4.7,2.1,0,1,93880.09405320001
1287,5.3,2.2,0,1,4066400.5039575505
1288,5.5,1.7,0,0,-475.5755171120344
1290,16.1,2.8,1,0,0.0
1291,16.1,3.0,1,0,13747119.979034701
1292,14.4,2.7,0,1,350081.88656110974
1293,14.5,2.4,1,0,-112.0602378202
1294,15.8,2.3,0,0,-238.13664741235002
1295,14.8,2.1,1,0,0.0
1296,11.8,2.4,1,1,115604520.5462763
1297,13.6,2.6,0,1,-824.8398689743867
1298,13.6,2.4,1,1,562119.1175160947
1299,13.1,1.4,0,1,-746.8470796178593
1300,13.2,1.8,1,1,0.0
1301,11.4,2.2,0,1,4359842.432214701
1302,12.5,2.5,0,1,-238.24275585872678
1303,13.1,2.3,1,1,0.0
1304,13.0,2.3,0,1,6432667.6773247
1305,12.6,1.7,1,1,-238.24695101202593
1306,10.7,1.0,0,0,0.0
1307,11.1,1.7,1,1,357145.4071747
1308,11.1,2.1,0,1,25051277.387353484
1309,11.7,1.8,1,1,-588.0637437627136
1310,10.9,1.7,0,1,0.0
1311,11.0,1.8,1,1,0.0
1312,10.0,2.2,0,0,0.0
1313,12.1,1.8,0,1,7762035.561331599
1314,12.9,2.1,1,1,-588.0329970705757
1315,12.0,2.2,1,1,4860179.5603447
1316,10.3,1.7,1,0,-238.24409609532844
1318,12.4,2.8,0,1,5129879.730904519
1319,11.7,3.0,0,0,476757.2737446459
1320,12.8,2.7,1,0,-1289.1537642103638
1321,12.4,2.4,0,1,-545.9954569878572
1322,12.4,2.3,1,1,1542154.6458379
1323,11.1,2.1,0,0,5124.6884953955
1324,11.7,2.4,1,0,1052470.416229902
1325,11.3,2.6,0,0,-899.4995147505128
1326,9.9,2.4,0,0,-791.8447972148948
1327,10.0,1.4,0,0,2631.836138355
1328,10.4,1.8,0,0,219925.06285304998
1329,11.1,2.2,0,0,197759.0830459456
1330,9.0,2.5,1,1,2688746.3139773738
1331,8.3,2.3,0,1,222.41039832309514
1332,9.7,2.3,0,0,580797.883505967
1333,8.3,1.7,0,0,-1161.9835486420125
1334,8.4,1.0,1,1,0.0
1335,7.0,1.7,1,0,918420.5021788001
1336,6.9,2.1,0,0,-10.425603575830669
1337,8.2,1.8,0,0,166453.72576671568
1338,8.2,1.7,0,0,-158.61963743928573
1339,5.2,1.8,1,0,2812516.055296238
1340,5.5,2.2,0,0,8699550.376579141
1341,6.7,1.8,0,0,-784.7210458778466
1342,5.5,2.1,1,0,7461054.3973161
1343,5.1,2.2,0,0,10922743.803359423
1344,6.5,1.7,0,0,858540.6284685858
1346,15.9,2.8,0,1,-467.69465049954954
1347,14.8,3.0,0,0,229132.0911189945
1348,13.9,2.7,1,0,230.88497865024084
1349,12.4,2.4,0,0,647672.8359413876
1350,11.1,2.3,0,1,430297.1892028026
1351,12.4,2.1,0,0,-267.1590195299855
1352,12.4,2.4,1,1,39895855.73973382
1353,12.2,2.6,0,0,-773.2276075061928
1354,10.5,2.4,1,0,-208.53937145335001
1355,10.3,1.4,0,0,7130221.9390328005
1356,10.5,1.8,0,0,-353.1480553064548
1357,10.6,2.2,0,0,398.539308235
1358,10.3,2.5,0,0,1276984.4756536498
1359,10.8,2.3,0,1,2175175.8706005253
1360,10.7,2.3,0,1,-282.4284648490949
1361,10.3,1.7,0,1,533.7692524031538
1362,11.2,1.0,0,0,-113.58859890727274
1363,9.7,1.7,0,0,-9663.031905488462
1364,8.4,2.1,0,0,-380.44274261928484
1365,9.8,1.8,0,0,166706.3109467
1366,7.8,1.7,0,0,4089526.1101319166
1367,9.1,1.8,1,1,1902040.1997365789
1368,8.9,2.2,1,1,886.8263457568181
1369,7.7,1.8,0,0,-377.6850578704338
1370,7.7,2.1,1,0,1747448.7698525
1371,7.8,2.2,1,0,1483549.7382574663
1372,7.3,1.7,0,0,-586.0956807512607
1402,5.4,2.8,0,0,2222066.8288442697
1403,4.5,3.0,0,0,629558.2618378915
1404,3.8,2.7,0,0,200927.18028163427
1405,3.9,2.4,0,0,-201.61853514450002
1406,3.4,2.3,0,1,1209462.0517729
1407,3.1,2.1,0,0,-150.87687634898816
1408,2.5,2.4,0,0,1557073.3253715273
1409,3.5,2.6,0,0,-495.4891033854286
1410,3.2,2.4,0,0,-676.6393829848075
1411,3.1,1.4,0,0,-314.4972095784
1412,2.9,1.8,0,0,293280.73330759996
1413,2.7,2.2,0,0,410.3617524135343
1414,2.8,2.5,0,0,2542734.029320457
1415,3.4,2.3,0,0,-190.65868861614427
1416,2.5,2.3,0,1,-182.7940770580645
1417,3.0,1.7,0,1,-314.5698585064615
1418,3.0,1.0,0,1,0.0
1419,2.7,1.7,0,0,759468.680487
1420,3.1,2.1,0,0,0.0
1421,2.7,1.8,0,0,219469.3964211023
1422,2.5,1.7,0,0,-314.3622901405714
1423,2.6,1.8,0,1,0.0
1424,2.5,2.2,0,1,875177.4200479999
1425,2.5,1.8,0,1,-314.69882058540094
1426,3.0,2.1,0,1,0.0
1427,2.6,2.2,0,1,0.0
1428,2.7,1.7,0,0,1133008.4657384
