,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
210,6.7,2.5,0,1,1431929.82769325
211,7.4,2.3,0,0,1038159.4001782096
212,8.8,2.3,0,0,304661.17781546665
213,6.5,1.7,0,1,224.44746814769996
214,5.9,1.0,0,1,688817.0432040218
215,4.7,1.7,0,0,244435.6596099756
216,5.6,2.1,0,0,-223.4889643357421
217,4.9,1.8,0,0,211413.17632904
218,5.4,1.7,1,1,-168.63938396120383
219,6.5,1.8,0,1,312341.5976238
220,6.2,2.2,0,1,153632.99884295455
221,5.3,1.8,0,0,-294.994655834904
222,5.9,2.1,0,1,775484.9329766999
223,5.3,2.2,0,1,551478.5225972579
224,4.7,1.7,0,0,-157.64857603675426
226,10.3,2.8,0,0,168778.8547324249
227,8.7,3.0,0,0,75932.1866013104
228,8.4,2.7,0,1,10.72660977257587
229,8.4,2.4,0,1,534966.7392696415
230,9.1,2.3,0,1,536559.1321474212
231,10.2,2.1,0,0,-272.35906913285936
232,8.9,2.4,1,1,28599739.432355434
233,8.2,2.6,0,1,-414.84492257464376
234,7.4,2.4,0,0,-162.97081741201526
235,6.6,1.4,0,0,3121698.8567643
236,7.7,1.8,0,0,-158.00521590571427
237,7.0,2.2,0,0,330.027023545
238,5.8,2.5,0,0,2154057.270517315
239,7.2,2.3,0,1,1303844.3854638853
240,8.2,2.3,1,1,121980.99348698281
241,5.8,1.7,0,0,482.4022109867077
242,5.8,1.0,0,1,422886.97580518364
243,5.5,1.7,1,0,104.98100561757879
244,5.6,2.1,0,0,-178.3605506116909
245,5.2,1.8,0,0,177531.06996572998
246,4.8,1.7,0,1,1703187.6687342064
247,4.5,1.8,0,1,392204.6755128001
248,5.8,2.2,0,0,94757.86556523909
249,6.1,1.8,0,0,-272.30137630242405
250,5.9,2.1,0,0,648665.2179032799
251,4.4,2.2,0,1,866518.7731949426
252,4.5,1.7,0,0,-247.6631361307857
254,4.2,2.8,0,0,338319.7421836073
255,3.5,3.0,0,0,-668.7363093546667
256,3.8,2.7,0,0,3907885.3531326
257,3.2,2.4,0,0,901287.7073308984
258,3.2,2.3,0,0,-758.3070027236956
259,3.4,2.1,1,0,1292912.100028
260,3.3,2.4,1,0,3001815.096766666
261,3.5,2.6,0,0,-1693.0962000952368
262,2.8,2.4,0,0,3274515.0865517994
263,3.3,1.4,0,0,-1023.7047290651999
264,2.8,1.8,0,0,0.0
265,2.5,2.2,1,0,579712.5808242
266,2.3,2.5,1,1,5303959.854356152
267,2.5,2.3,0,1,1044297.3813540589
268,2.3,2.3,0,1,-282.4848107138919
269,2.0,1.7,0,1,0.0
270,2.3,1.0,0,1,0.0
271,2.8,1.7,0,0,0.0
272,2.4,2.1,0,1,0.0
273,2.3,1.8,0,1,0.0
274,2.5,1.7,0,1,0.0
275,3.3,1.8,0,1,0.0
276,2.5,2.2,0,0,0.0
277,2.7,1.8,0,1,0.0
278,2.4,2.1,0,1,62700536.133799195
279,3.0,2.2,1,1,38280566.63216132
280,3.6,1.7,0,0,-2068.8531679928465
338,9.4,2.8,1,0,-703.2912950844827
339,8.6,3.0,1,0,585826.5031185218
340,8.8,2.7,0,0,650103.0450147495
341,9.6,2.4,0,1,4537817.912836079
342,9.2,2.3,1,1,1863803.4712011954
343,10.0,2.1,0,0,-122.82806935214364
344,10.5,2.4,1,0,36836061.2263151
345,10.0,2.6,0,0,-1023.5049305264922
346,7.6,2.4,0,0,-541.2203934463998
347,7.8,1.4,0,0,2089.9589658453
348,7.2,1.8,1,0,383074.23696332995
349,7.3,2.2,0,0,164349.20708434188
350,7.3,2.5,0,0,7262934.143334325
351,6.2,2.3,0,0,-714.9371301299934
352,6.6,2.3,0,1,629471.2294377055
353,6.9,1.7,0,0,-819.7213698022597
354,7.1,1.0,0,0,74492.8880163
355,6.5,1.7,1,0,836409.6300106
356,5.5,2.1,1,0,-519.8589207500177
357,6.4,1.8,0,0,204785.69647556343
358,6.9,1.7,0,0,-226.53066851742858
359,5.7,1.8,0,0,46822.93348382424
360,5.1,2.2,0,0,7486264.2566336505
361,4.1,1.8,0,0,-557.7785618407918
362,5.2,2.1,0,0,2416409.7687963
363,4.0,2.2,0,0,9067380.167335546
364,3.8,1.7,0,0,1054767.5639651606
394,15.4,2.8,0,0,1561462.3035888479
395,15.4,3.0,0,0,39.00694733184409
396,15.4,2.7,0,0,413858.5088459497
397,14.6,2.4,0,1,3634548.8737547863
398,14.5,2.3,1,1,1797435.6229955857
399,13.9,2.1,1,0,330.18481484221456
400,14.1,2.4,1,0,32168173.954745002
401,13.7,2.6,0,0,-962.5119698005965
402,15.1,2.4,0,0,-264.5905577810625
403,12.9,1.4,1,0,5633855.028821601
404,12.1,1.8,0,1,120198.36703159507
405,11.8,2.2,1,1,-470.043286102
406,11.1,2.5,1,0,4235024.6718738
407,9.7,2.3,0,1,-64.1412309513889
408,11.0,2.3,1,1,857541.5183038311
409,10.9,1.7,0,1,-636.9562541850623
410,9.5,1.0,0,1,95357.35582750001
411,10.6,1.7,1,0,619202.8421448667
412,9.3,2.1,0,0,-528.7518197875386
413,10.0,1.8,0,0,-264.5523718151539
414,9.1,1.7,1,0,0.0
415,9.6,1.8,0,0,2712366.9777581
416,9.7,2.2,1,0,-744.421007106453
417,9.8,1.8,0,0,0.0
418,8.7,2.1,0,0,11673626.7696754
419,8.9,2.2,1,1,-297.02290341461855
420,8.5,1.7,0,0,-272.17371387649416
534,9.4,2.8,0,0,-124.30033044651164
535,9.3,3.0,0,0,67473.54898997105
536,9.0,2.7,0,1,-237.63027859814997
537,9.2,2.4,0,1,262258.76267192
538,9.9,2.3,0,0,273534.2346329742
539,10.3,2.1,0,0,-195.40596634157143
540,7.9,2.4,1,1,24492937.74870873
541,8.7,2.6,0,1,-405.82070158943236
542,7.6,2.4,1,0,605931.3022952278
543,7.9,1.4,0,0,906020.9914618363
544,7.7,1.8,0,0,14.685634204271892
545,7.4,2.2,0,0,122821.11169030982
546,8.2,2.5,0,0,-47.8806817775918
547,7.6,2.3,0,1,316.4324970789197
548,7.8,2.3,1,1,-174.71577995608698
549,8.8,1.7,0,0,-175.59200488163265
550,7.0,1.0,0,0,1564.3651344
551,7.1,1.7,0,0,-195.50218721293334
552,7.4,2.1,0,0,1370489.12429312
553,6.8,1.8,0,0,-64.64571341005284
554,5.7,1.7,0,0,224585.6594815
555,6.3,1.8,0,1,0.0
556,6.4,2.2,0,1,195217.9869467403
557,5.9,1.8,1,1,156.43651344
558,7.2,2.1,0,0,22694.633911453333
559,6.6,2.2,1,1,1554136.499389883
560,6.4,1.7,0,0,-106.95132853173763
562,10.8,2.8,0,0,247146.63207299839
563,9.1,3.0,1,0,-269.48303815327404
564,8.2,2.7,1,0,-136.69708697902678
565,8.7,2.4,0,1,409972.86621019995
566,8.3,2.3,0,1,556979.24723658
567,8.8,2.1,0,0,-274.1504396785072
568,7.8,2.4,1,0,25610860.896522216
569,7.8,2.6,0,0,-351.2199057895609
570,8.6,2.4,0,0,-136.98825356554306
571,9.2,1.4,0,0,2392169.1183102
572,6.0,1.8,0,0,-121.07996810857142
573,7.4,2.2,0,0,252.90090113
574,7.5,2.5,0,0,1593538.9145244155
575,7.2,2.3,0,1,999146.1902045636
576,6.6,2.3,0,0,268578.1925221581
577,7.3,1.7,0,1,234.97139171042306
578,6.1,1.0,0,1,618555.0283892872
579,6.6,1.7,0,0,207968.45766250402
580,5.5,2.1,0,0,-205.9961525807318
581,5.2,1.8,1,0,178616.71785299998
582,5.2,1.7,0,0,327049.30375356844
583,4.6,1.8,0,1,300594.6595041125
584,5.6,2.2,0,1,138005.76323251816
585,4.9,1.8,0,0,-274.057997297816
586,5.8,2.1,0,1,738019.6903321999
587,4.6,2.2,1,1,478032.96200899413
588,6.3,1.7,0,0,-136.6641317457714
590,8.6,2.8,0,0,-250.02688668362686
591,8.4,3.0,0,0,447999.74664900004
592,9.1,2.7,0,0,-279.999841655625
593,8.3,2.4,0,1,1736804.5212490002
594,7.6,2.3,0,1,-225.94754112903226
595,9.1,2.1,0,0,0.0
596,8.0,2.4,1,0,67029165.44179769
597,6.8,2.6,0,0,-581.0998982801921
598,7.2,2.4,0,1,799643.0972085212
599,6.7,1.4,0,1,4372253.962514466
600,5.9,1.8,0,0,-312.3217106127928
601,5.6,2.2,0,1,593141.2956890999
602,5.3,2.5,0,1,279.46570291052626
603,5.1,2.3,0,1,-312.2572586719722
604,5.5,2.3,0,1,324833.4084003
605,5.1,1.7,0,1,-249.87185261561538
606,5.1,1.0,0,1,0.0
607,4.6,1.7,0,0,0.0
608,5.4,2.1,0,0,6621380.899059099
609,4.9,1.8,0,0,-312.32928769146696
610,4.4,1.7,1,0,324407.3393156
611,4.6,1.8,1,0,0.0
612,4.5,2.2,0,0,-190.82784665623527
613,5.1,1.8,0,1,299826.9874303
614,5.8,2.1,0,1,150864.26006318
615,5.5,2.2,0,1,7516075.252947524
616,6.4,1.7,1,0,-842.5326676967593
618,18.3,2.8,1,0,2578559.764104528
619,18.4,3.0,0,0,-344.4257052318075
620,18.3,2.7,0,0,294081.91143754957
621,18.1,2.4,0,0,2689.9526759116975
622,16.7,2.3,1,1,1745735.9046372129
623,17.0,2.1,1,0,2457.721094221441
624,15.7,2.4,1,0,2754447.672352306
625,16.3,2.6,0,0,-1159.1734648197278
626,15.7,2.4,0,0,-787.7548680523637
