,Priv Union Members (%),state_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
58,6.6,9.261872131739013,52.59276288694691,0,1,1811185.133190057
59,6.5,8.460395687359679,52.59276288694691,0,0,794291.0208424
60,5.7,11.40364966068157,52.8232933866779,0,0,1656709.844779212
61,4.5,9.8928860449774,52.8232933866779,0,0,4130359.2656283844
62,4.5,-0.29143796677136846,60.890447336710395,0,1,1284136.5278637537
63,5.2,2.050094168533012,60.890447336710395,0,0,-1.04573957186021
64,4.0,11.88405939510002,43.799287572341115,1,0,33895513.99782411
65,4.5,9.507571945637338,43.799287572341115,0,0,-1361.3542399248558
66,4.0,8.291580484090954,41.22459594697476,0,0,632375.8111762
67,3.4,3.631193821527945,41.22459594697476,0,0,-218.06062454351724
68,3.2,8.012304838638883,45.22515895915404,0,0,119148.9744501
69,3.1,12.177734683196784,45.22515895915404,0,0,-238.2979489002
70,4.0,9.647088175968177,40.162199496468595,0,0,4413175.70416
71,3.4,8.887432038300869,40.162199496468595,0,1,-350.2520400126984
72,3.6,11.84288946660823,27.337098605934496,0,0,572822.4242601
73,2.8,-2.1263105080608025,27.337098605934496,0,0,-238.676010108375
74,2.7,3.1063136170514927,56.24698853544324,0,0,0.0
75,2.5,11.287989841058854,56.24698853544324,0,0,310169.3743701
76,1.4,-0.8736379346300893,61.42175647895004,0,0,-238.59182643853848
77,2.1,-1.4731447462271507,61.42175647895004,0,0,0.0
78,2.9,10.164860729333425,61.353129830542755,0,0,0.0
79,2.8,3.10327404868449,61.353129830542755,0,1,1747758.0682023999
80,2.7,2.2405183958235764,71.16146052179676,0,1,-264.8118285155152
81,3.9,17.030254300417536,71.16146052179676,0,1,0.0
114,11.1,7.376575455603729,48.8348850602294,0,0,0.0
115,11.0,8.565332385684421,48.8348850602294,1,0,27073359.2300292
116,10.4,7.186771413555304,45.26698238048557,1,0,555029.4786714654
117,10.0,8.514959459669003,45.26698238048557,1,1,-86.27343298959994
118,9.8,1.384708109787991,43.93918122913188,0,1,-468.9825222346
119,10.2,9.804218396047638,43.93918122913188,0,0,0.0
120,9.7,14.592704101136555,42.602878502563144,1,1,160739118.5311823
121,9.7,14.901612345749848,42.602878502563144,0,1,-1128.6444042266712
122,10.2,12.22008603410043,44.44035111237065,0,1,5210.779715726316
123,9.6,11.64301037155857,44.44035111237065,1,0,-469.1763293103652
124,9.4,7.379537954307058,43.28052222031903,0,0,0.0
125,9.7,14.897627463945184,43.28052222031903,1,0,8586204.2765092
126,9.0,16.045960365633416,39.95280493715904,1,0,-469.1914905196284
127,9.6,8.871287932605076,39.95280493715904,0,1,0.0
128,10.7,12.904041433140723,36.644562983243326,1,1,13877813.0366521
129,9.5,3.960921340752588,36.644562983243326,0,0,-1399.5226156053636
130,9.3,11.984253319739002,43.48520163978468,1,0,0.0
131,9.0,11.782645686734261,43.48520163978468,1,0,703356.4790692
132,8.9,5.432800036199459,37.1179899113079,1,0,9106578.13625522
133,8.9,5.4429036358041305,37.1179899113079,0,0,-213.78044696184506
134,9.2,6.882086460496506,41.36994997911649,0,1,0.0
135,8.7,5.1956413118550815,41.36994997911649,0,0,0.0
136,8.8,9.626295325195455,34.90403099205622,0,1,0.0
137,8.3,7.1741891242089295,34.90403099205622,0,0,2821754.3578145998
142,7.5,9.104534388746654,65.09155468649341,1,0,0.0
143,6.9,11.678203623756577,65.09155468649341,0,0,0.0
144,7.0,6.6719444604435685,56.98980803408591,0,0,350497.6899615
145,6.7,10.201362821086768,56.98980803408591,0,1,-350.49768996150004
146,6.3,5.592685450852963,56.18024265607868,0,1,964363.0443941001
147,5.5,8.40534673769091,56.18024265607868,0,0,-267.2779588464881
148,6.0,16.925518977984467,59.65033173592662,1,0,87420041.18389821
149,6.2,23.197767664584077,59.65033173592662,0,0,-1036.1387185623435
150,5.4,13.633991355059582,53.89767860005955,0,0,0.0
151,5.2,11.252730384828812,53.89767860005955,0,0,0.0
152,5.2,8.9374285339874,48.64294503560795,0,0,0.0
153,5.3,16.803073637624387,48.64294503560795,0,0,7111570.1497926
154,5.0,14.354701099536316,40.534769505089976,0,0,4420243.047737126
155,5.6,10.187375500300755,40.534769505089976,0,1,-739.4239535058239
156,5.5,19.305454032353573,43.38453643546894,0,1,10284507.5523642
157,4.5,2.752192301438372,43.38453643546894,0,1,-1035.652279076298
158,3.8,13.06685201725093,50.13929598809405,0,0,0.0
159,4.9,22.98026784406211,50.13929598809405,0,1,0.0
160,4.9,11.026435111918452,46.67625387269801,0,1,0.0
161,5.0,11.679049390716845,46.67625387269801,0,1,0.0
162,7.4,14.923025370574305,49.9967258594619,0,1,0.0
163,6.5,-4.180725123229356,49.9967258594619,0,1,0.0
164,6.9,-1.346544089280144,47.70118729358216,0,1,0.0
165,7.1,9.088001231741538,47.70118729358216,0,1,0.0
170,11.9,2.945508585718115,47.24706243271631,0,0,255147.89992918907
171,11.6,4.04714480344095,47.24706243271631,0,0,96973.27569601723
172,9.4,11.044118151515603,42.26757369614512,0,0,-60.69691277495625
173,11.0,5.115823494385552,42.26757369614512,0,1,376495.47196193
174,10.9,-0.5497138297166249,46.315919610920545,0,1,538890.6733074596
175,10.0,3.371809893046618,46.315919610920545,0,0,-141.82622448499998
176,9.4,9.513863483837582,44.97095524137983,1,1,38284775.86999374
177,8.5,10.063482355654262,44.97095524137983,1,1,-581.560083691019
178,9.8,2.181974838512879,47.10176496928664,0,1,206670.06022030357
179,8.3,12.439434109658599,47.10176496928664,1,1,-64.6285601416
180,7.3,5.414850479620781,44.09023907812349,0,1,0.0
181,7.6,10.668160540204784,44.09023907812349,1,0,0.0
182,8.0,14.930883103329396,39.06948570769275,1,1,0.0
183,7.6,6.051573526175202,39.06948570769275,0,1,0.0
184,8.3,12.45148042432942,33.04866639299882,0,0,268259.50352411997
185,8.5,-6.769017767740381,33.04866639299882,0,1,-206.35346424932305
186,8.3,6.079190894663777,40.236794523292,0,1,638244.142943
187,8.5,12.815938932917792,40.236794523292,0,0,-141.83203176511108
188,6.6,11.340448660137703,33.475013152408955,1,0,0.0
189,6.8,5.389322371263083,33.475013152408955,0,0,184280.76054299998
190,7.1,19.09358340818732,38.349048608568374,0,1,286864.3493604131
191,7.5,-9.74237111481866,38.349048608568374,0,1,0.0
192,8.9,4.599128277487652,35.43473996354709,0,1,141552.86632312258
193,7.8,9.774220849055615,35.43473996354709,0,1,77372.14499967701
254,4.2,8.225229281637315,59.39827111807949,0,0,338319.7421836073
255,3.5,10.986059488993138,59.39827111807949,0,0,-668.7363093546667
256,3.8,10.409009694064885,56.25642978762493,0,0,3907885.3531326
257,3.2,7.333773500018337,56.25642978762493,0,0,901287.7073308984
258,3.2,3.209437355842515,45.97800813835701,0,0,-758.3070027236956
259,3.4,7.1199795892388895,45.97800813835701,1,0,1292912.100028
260,3.3,11.027149219503185,56.90476570575629,1,0,3001815.096766666
261,3.5,12.595263919665323,56.90476570575629,0,0,-1693.0962000952368
262,2.8,9.840535379439963,57.38261715452067,0,0,3274515.0865517994
263,3.3,12.837793217065663,57.38261715452067,0,0,-1023.7047290651999
264,2.8,7.431388775373349,58.98355557237771,0,0,0.0
265,2.5,12.5848511181051,58.98355557237771,1,0,579712.5808242
266,2.3,13.877576990038998,56.668303068552085,1,1,5303959.854356152
267,2.5,7.451181676581742,56.668303068552085,0,1,1044297.3813540589
268,2.3,15.5125057829133,51.099286986129144,0,1,-282.4848107138919
269,2.0,3.6008119122458604,51.099286986129144,0,1,0.0
270,2.3,8.648979496540953,58.709006643660736,0,1,0.0
271,2.8,14.963724678318858,58.709006643660736,0,0,0.0
272,2.4,9.67909413662149,50.92839110639784,0,1,0.0
273,2.3,5.654270188046717,50.92839110639784,0,1,0.0
274,2.5,8.477889391437653,54.28472485770399,0,1,0.0
275,3.3,2.1268275424930483,54.28472485770399,0,1,0.0
276,2.5,3.8810858343746757,53.56344709421046,0,0,0.0
277,2.7,9.33695608020808,53.56344709421046,0,1,0.0
394,15.4,3.04694883665122,51.79635013715731,0,0,1561462.3035888479
395,15.4,15.173015474760998,51.79635013715731,0,0,39.00694733184409
396,15.4,8.432250775865713,43.915843711827144,0,0,413858.5088459497
397,14.6,7.886698480089116,43.915843711827144,0,1,3634548.8737547863
398,14.5,4.334122174602806,50.52645787497255,1,1,1797435.6229955857
399,13.9,7.852772825696341,50.52645787497255,1,0,330.18481484221456
400,14.1,12.844557674705692,43.4141096209079,1,0,32168173.954745002
401,13.7,7.718925781475439,43.4141096209079,0,0,-962.5119698005965
402,15.1,8.672574018607948,48.32654639536023,0,0,-264.5905577810625
403,12.9,9.207925456148303,48.32654639536023,1,0,5633855.028821601
404,12.1,6.245628176152129,45.536751816367705,0,1,120198.36703159507
405,11.8,10.14019502861563,45.536751816367705,1,1,-470.043286102
